RecordID,Date,Player,Team,Positive,Neutral,Negative,PopularityScore
1339,2024-12-12,Fakhar Zaman,South Africa,72,19,9,8.1
1340,2023-11-09,Aiden Markram,England,90,4,6,9.2
1341,2023-01-30,Kusal Mendis,New Zealand,90,10,0,9.5
1342,2024-02-20,Mujeeb Ur Rahman,South Africa,64,5,31,6.7
1343,2023-06-21,Virat Kohli,Afghanistan,66,18,16,7.5
1344,2024-04-19,Trent Boult,England,65,9,26,6.9
1345,2023-04-10,Fakhar Zaman,South Africa,60,14,26,6.7
1346,2024-09-14,Joe Root,New Zealand,94,7,0,9.8
1347,2024-05-08,Jos Buttler,Pakistan,64,17,19,7.2
1348,2023-05-17,Rashid Khan,England,56,19,25,6.6
1349,2024-05-12,Quinton de Kock,Bangladesh,87,5,8,8.9
1350,2023-03-26,Dasun Shanaka,Sri Lanka,90,9,1,9.4
1351,2023-03-11,Glenn Maxwell,New Zealand,65,3,32,6.7
1352,2024-10-31,Aiden Markram,England,95,8,0,9.9
1353,2024-02-27,Travis Head,Afghanistan,84,7,9,8.8
1354,2023-10-29,Virat Kohli,India,59,4,37,6.1
1355,2023-07-08,Kusal Mendis,Australia,57,20,23,6.7
1356,2024-02-20,Mitchell Starc,Afghanistan,74,11,15,8.0
1357,2024-05-24,Mujeeb Ur Rahman,Australia,58,3,39,5.9
1358,2024-03-02,Trent Boult,India,59,9,32,6.3
1359,2025-01-04,Kagiso Rabada,South Africa,72,8,20,7.6
1360,2023-05-19,Babar Azam,India,89,14,0,9.6
1361,2024-09-29,Rishabh Pant,Pakistan,95,9,0,9.9
1362,2025-05-30,Jonny Bairstow,Pakistan,59,14,27,6.6
1363,2024-03-05,Trent Boult,Bangladesh,82,4,14,8.4
1364,2025-04-19,Mitchell Starc,West Indies,56,10,34,6.1
1365,2023-11-13,Mohammed Shami,New Zealand,75,7,18,7.9
1366,2023-04-25,Rohit Sharma,New Zealand,80,5,15,8.2
1367,2024-07-05,Rashid Khan,West Indies,65,16,19,7.3
1368,2024-03-12,Kane Williamson,England,84,19,0,9.4
1369,2025-01-24,Mohammad Rizwan,West Indies,69,3,28,7.0
1370,2024-12-14,Mohammad Rizwan,England,56,6,38,5.9
1371,2025-02-19,Aiden Markram,Afghanistan,68,4,28,7.0
1372,2024-02-29,Virat Kohli,Australia,70,7,23,7.3
1373,2025-01-25,Aiden Markram,New Zealand,79,20,1,8.9
1374,2024-04-19,Travis Head,Afghanistan,60,3,37,6.2
1375,2024-09-15,Shaheen Afridi,India,63,7,30,6.7
1376,2024-06-19,Suryakumar Yadav,Afghanistan,78,6,16,8.1
1377,2024-11-19,Travis Head,Pakistan,72,19,9,8.1
1378,2024-02-17,Wanindu Hasaranga,Pakistan,58,16,26,6.6
1379,2024-04-18,Tom Latham,South Africa,64,19,17,7.3
1380,2025-03-06,Travis Head,India,57,11,32,6.2
1381,2023-05-08,David Warner,Bangladesh,77,15,8,8.4
1382,2023-03-22,Mohammed Shami,Bangladesh,72,9,19,7.7
1383,2023-07-21,Mitchell Starc,South Africa,58,10,32,6.3
1384,2025-05-02,Ben Stokes,Pakistan,70,6,24,7.3
1385,2023-04-22,Kusal Mendis,West Indies,59,5,36,6.2
1386,2023-08-03,Glenn Maxwell,New Zealand,80,9,11,8.4
1387,2023-04-07,Virat Kohli,Afghanistan,56,16,28,6.4
1388,2023-01-18,Kusal Mendis,Afghanistan,68,4,28,7.0
1389,2023-07-18,Ben Stokes,Pakistan,86,13,1,9.2
1390,2024-01-13,Litton Das,Bangladesh,61,8,31,6.5
1391,2024-05-07,Yashasvi Jaiswal,West Indies,60,5,35,6.2
1392,2025-03-04,Trent Boult,England,86,16,0,9.4
1393,2025-04-27,Mohammed Shami,Bangladesh,95,4,1,9.7
1394,2024-04-17,Jofra Archer,West Indies,73,17,10,8.1
1395,2024-05-24,Litton Das,Bangladesh,90,16,0,9.8
1396,2023-10-13,Virat Kohli,Australia,69,7,24,7.2
1397,2023-04-27,Jos Buttler,West Indies,65,6,29,6.8
1398,2023-05-11,Rohit Sharma,Australia,93,17,0,10.1
1399,2025-04-03,Rishabh Pant,Australia,88,19,0,9.8
1400,2025-05-30,Dasun Shanaka,Afghanistan,90,9,1,9.4
1401,2024-03-24,Yashasvi Jaiswal,Sri Lanka,61,11,28,6.7
1402,2023-01-16,Harry Brook,Australia,61,11,28,6.7
1403,2023-10-17,Devon Conway,India,66,8,26,7.0
1404,2023-08-12,Mohammad Rizwan,Afghanistan,92,3,5,9.4
1405,2024-04-27,Mujeeb Ur Rahman,England,85,15,0,9.2
1406,2023-02-12,Suryakumar Yadav,Pakistan,88,9,3,9.2
1407,2023-01-09,Jofra Archer,Bangladesh,61,8,31,6.5
1408,2023-09-17,Jasprit Bumrah,Pakistan,64,18,18,7.3
1409,2024-03-02,Angelo Mathews,Bangladesh,72,12,16,7.8
1410,2025-05-31,Hardik Pandya,Australia,56,20,24,6.6
1411,2024-01-25,David Warner,Sri Lanka,76,15,9,8.3
1412,2023-05-27,Temba Bavuma,Pakistan,59,9,32,6.3
1413,2023-12-08,Litton Das,India,71,17,12,8.0
1414,2023-09-25,Fakhar Zaman,New Zealand,79,6,15,8.2
1415,2024-12-28,Rahmanullah Gurbaz,India,82,12,6,8.8
1416,2023-02-18,Mitchell Starc,South Africa,75,17,8,8.3
1417,2024-07-27,Fakhar Zaman,Afghanistan,84,4,12,8.6
1418,2025-05-31,David Warner,South Africa,78,18,4,8.7
1419,2025-03-14,Jasprit Bumrah,Bangladesh,66,9,25,7.0
1420,2024-12-28,Joe Root,West Indies,88,12,0,9.4
1421,2024-02-09,Rashid Khan,Sri Lanka,67,19,14,7.7
1422,2024-04-10,Rahmanullah Gurbaz,Pakistan,59,15,26,6.7
1423,2025-02-16,Tom Latham,Sri Lanka,75,4,21,7.7
1424,2023-10-11,Aiden Markram,Sri Lanka,69,11,20,7.5
1425,2024-01-13,Hardik Pandya,England,57,14,29,6.4
1426,2024-06-01,Steve Smith,England,76,12,12,8.2
1427,2023-11-01,Mitchell Starc,Sri Lanka,71,4,25,7.3
1428,2025-05-28,Glenn Maxwell,Afghanistan,89,7,4,9.2
1429,2023-03-03,Shubman Gill,New Zealand,80,5,15,8.2
1430,2023-04-13,Aiden Markram,Afghanistan,83,7,10,8.7
1431,2023-07-10,Glenn Maxwell,Afghanistan,87,11,2,9.2
1432,2023-04-24,Fakhar Zaman,South Africa,65,13,22,7.1
1433,2024-01-29,Harry Brook,Sri Lanka,93,8,0,9.7
1434,2024-09-23,Fakhar Zaman,Sri Lanka,88,6,6,9.1
1435,2023-06-09,Shakib Al Hasan,New Zealand,64,16,20,7.2
1436,2023-06-18,Dasun Shanaka,Bangladesh,69,19,12,7.9
1437,2024-09-04,Kusal Mendis,Sri Lanka,91,5,4,9.4
1438,2024-10-21,Tom Latham,Pakistan,55,4,41,5.7
1439,2024-08-17,Rishabh Pant,Pakistan,57,10,33,6.2
1440,2025-01-31,Babar Azam,West Indies,75,18,7,8.4
1441,2023-02-04,Jofra Archer,Australia,93,14,0,10.0
1442,2023-08-27,Jos Buttler,Bangladesh,77,12,11,8.3
1443,2023-08-24,Kagiso Rabada,Bangladesh,91,16,0,9.9
1444,2023-01-30,Andre Russell,Pakistan,72,4,24,7.4
1445,2024-06-02,Virat Kohli,India,55,5,40,5.8
1446,2023-03-07,Mujeeb Ur Rahman,Sri Lanka,85,17,0,9.4
1447,2023-12-27,Shimron Hetmyer,New Zealand,79,12,9,8.5
1448,2023-04-07,Kagiso Rabada,Bangladesh,71,9,20,7.5
1449,2024-09-28,MS Dhoni,West Indies,86,3,11,8.8
1450,2023-04-13,Jofra Archer,South Africa,90,15,0,9.8
1451,2023-11-08,Suryakumar Yadav,West Indies,70,8,22,7.4
1452,2024-04-21,Kane Williamson,India,65,3,32,6.7
1453,2024-03-29,Andre Russell,West Indies,66,12,22,7.2
1454,2025-04-26,Kane Williamson,South Africa,78,11,11,8.3
1455,2024-08-07,Mohammad Rizwan,West Indies,72,18,10,8.1
1456,2023-12-12,Shaheen Afridi,India,64,13,23,7.0
1457,2023-01-04,Mustafizur Rahman,England,82,5,13,8.4
1458,2024-10-18,Mustafizur Rahman,New Zealand,83,5,12,8.6
1459,2025-03-02,Dasun Shanaka,India,63,18,19,7.2
1460,2023-01-09,Shaheen Afridi,Sri Lanka,79,17,4,8.8
1461,2024-04-02,Kane Williamson,Australia,93,8,0,9.7
1462,2025-04-19,Andre Russell,Australia,80,12,8,8.6
1463,2025-04-19,Suryakumar Yadav,Bangladesh,59,3,38,6.0
1464,2024-10-20,Angelo Mathews,New Zealand,63,15,22,7.0
1465,2024-03-01,Yashasvi Jaiswal,Bangladesh,67,14,19,7.4
1466,2024-11-19,Jason Holder,Sri Lanka,78,3,19,8.0
1467,2025-04-01,Steve Smith,New Zealand,89,16,0,9.7
1468,2024-09-05,Quinton de Kock,Bangladesh,56,9,35,6.0
1469,2024-08-11,David Warner,Afghanistan,87,9,4,9.2
1470,2024-05-29,Shakib Al Hasan,Pakistan,92,14,0,9.9
1471,2023-08-05,Shaheen Afridi,New Zealand,83,10,7,8.8
1472,2023-04-14,Shimron Hetmyer,Afghanistan,72,19,9,8.1
1473,2024-03-03,Suryakumar Yadav,England,72,5,23,7.5
1474,2023-09-24,Temba Bavuma,Sri Lanka,89,5,6,9.2
1475,2024-04-17,Kagiso Rabada,Afghanistan,68,19,13,7.8
1476,2024-07-29,Kusal Mendis,Pakistan,72,5,23,7.5
1477,2025-06-13,Mustafizur Rahman,New Zealand,91,11,0,9.7
1478,2024-06-19,Aiden Markram,West Indies,61,9,30,6.6
1479,2024-05-27,Mujeeb Ur Rahman,Bangladesh,56,15,29,6.3
1480,2024-06-20,KL Rahul,Afghanistan,68,18,14,7.7
1481,2025-06-13,KL Rahul,England,76,18,6,8.5
1482,2024-02-04,Harry Brook,Bangladesh,75,14,11,8.2
1483,2024-07-20,Glenn Maxwell,Australia,91,6,3,9.4
1484,2024-08-04,Quinton de Kock,Bangladesh,88,19,0,9.8
1485,2023-11-28,Mohammad Rizwan,Bangladesh,69,8,23,7.3
1486,2024-09-25,Nicholas Pooran,Australia,93,8,0,9.7
1487,2023-05-01,Travis Head,South Africa,62,17,21,7.0
1488,2024-04-07,Shimron Hetmyer,India,72,12,16,7.8
1489,2025-02-23,Shubman Gill,Bangladesh,87,14,0,9.4
1490,2023-08-19,KL Rahul,Australia,55,12,33,6.1
1491,2023-04-18,Virat Kohli,Bangladesh,91,7,2,9.4
1492,2025-01-03,Jofra Archer,South Africa,61,19,20,7.0
1493,2025-01-04,Glenn Maxwell,India,66,10,24,7.1
1494,2024-03-14,Wanindu Hasaranga,Sri Lanka,70,4,26,7.2
1495,2023-08-18,Shakib Al Hasan,England,64,11,25,6.9
1496,2023-01-27,Kusal Mendis,Bangladesh,59,4,37,6.1
1497,2024-04-14,Nicholas Pooran,Australia,55,12,33,6.1
1498,2023-06-28,Jasprit Bumrah,Sri Lanka,57,4,39,5.9
1499,2023-04-29,Mitchell Starc,Afghanistan,68,13,19,7.5
1500,2024-07-23,Aiden Markram,South Africa,80,7,13,8.3
1501,2024-12-22,Shubman Gill,England,92,12,0,9.8
1502,2024-04-14,Nicholas Pooran,Pakistan,90,18,0,9.9
1503,2023-07-30,Kane Williamson,Sri Lanka,62,9,29,6.7
1504,2024-03-09,Dasun Shanaka,Bangladesh,80,9,11,8.4
1505,2023-08-18,Angelo Mathews,West Indies,89,12,0,9.5
1506,2023-12-05,Suryakumar Yadav,Afghanistan,73,14,13,8.0
1507,2024-12-08,Jasprit Bumrah,New Zealand,69,10,21,7.4
1508,2024-02-13,Andre Russell,West Indies,93,20,0,10.3
1509,2023-08-01,Ben Stokes,Afghanistan,65,3,32,6.7
1510,2024-04-07,Aiden Markram,New Zealand,56,18,26,6.5
1511,2023-08-15,Jos Buttler,Bangladesh,73,4,23,7.5
1512,2024-04-12,David Warner,Afghanistan,93,17,0,10.1
1513,2024-11-29,Mujeeb Ur Rahman,Pakistan,66,19,15,7.5
1514,2024-12-26,Jason Holder,England,55,4,41,5.7
1515,2025-05-02,Aiden Markram,Australia,68,13,19,7.5
1516,2023-12-18,Harry Brook,New Zealand,63,13,24,6.9
1517,2023-08-02,Rishabh Pant,England,65,20,15,7.5
1518,2023-01-31,Shubman Gill,South Africa,60,14,26,6.7
1519,2023-03-10,Kane Williamson,England,90,15,0,9.8
1520,2024-06-12,Steve Smith,England,64,11,25,6.9
1521,2024-10-20,Dasun Shanaka,Pakistan,59,10,31,6.4
1522,2023-09-25,Ravindra Jadeja,West Indies,80,12,8,8.6
1523,2024-11-07,Jasprit Bumrah,Australia,58,3,39,5.9
1524,2024-06-05,Yashasvi Jaiswal,England,70,16,14,7.8
1525,2024-11-03,MS Dhoni,South Africa,91,4,5,9.3
1526,2023-02-17,Jofra Archer,Sri Lanka,66,5,29,6.9
1527,2023-12-11,Shakib Al Hasan,Australia,61,11,28,6.7
1528,2024-07-26,Rohit Sharma,Sri Lanka,55,19,26,6.5
1529,2025-02-27,Shubman Gill,Bangladesh,78,18,4,8.7
1530,2024-10-19,Yashasvi Jaiswal,Bangladesh,82,13,5,8.8
1531,2023-09-08,Jos Buttler,India,88,12,0,9.4
1532,2024-07-02,Mujeeb Ur Rahman,Bangladesh,62,4,34,6.4
1533,2025-03-03,Steve Smith,Australia,78,20,2,8.8
1534,2024-10-24,Kane Williamson,Afghanistan,62,15,23,6.9
1535,2023-07-24,Wanindu Hasaranga,Sri Lanka,77,11,12,8.2
1536,2023-04-29,Tom Latham,Australia,72,16,12,8.0
1537,2024-05-08,Babar Azam,South Africa,69,18,13,7.8
1538,2023-07-26,Mitchell Starc,Pakistan,74,20,6,8.4
1539,2024-06-25,Glenn Maxwell,Australia,70,4,26,7.2
1540,2024-02-20,Fakhar Zaman,West Indies,77,9,14,8.1
1541,2024-08-29,Jasprit Bumrah,Afghanistan,92,15,0,9.9
1542,2023-08-01,Hardik Pandya,New Zealand,72,19,9,8.1
1543,2023-02-25,Jofra Archer,New Zealand,79,10,11,8.4
1544,2023-03-12,Quinton de Kock,South Africa,60,12,28,6.6
1545,2024-01-25,Quinton de Kock,Afghanistan,62,4,34,6.4
1546,2025-05-18,Pat Cummins,West Indies,55,12,33,6.1
1547,2023-05-01,Joe Root,South Africa,70,9,21,7.5
1548,2023-12-19,Shimron Hetmyer,Pakistan,90,10,0,9.5
1549,2023-08-31,Mustafizur Rahman,England,67,3,30,6.9
1550,2025-02-16,David Warner,New Zealand,88,20,0,9.8
1551,2024-01-05,Hardik Pandya,India,73,8,19,7.7
1552,2023-04-26,Babar Azam,India,72,20,8,8.2
1553,2023-10-15,Ben Stokes,England,74,12,14,8.0
1554,2024-08-18,Aiden Markram,Sri Lanka,55,3,42,5.6
1555,2024-11-18,Suryakumar Yadav,Pakistan,58,8,34,6.2
1556,2023-02-18,Mohammed Shami,South Africa,87,19,0,9.7
1557,2024-04-06,Rahmanullah Gurbaz,Afghanistan,93,12,0,9.9
1558,2025-01-07,Rishabh Pant,New Zealand,90,16,0,9.8
1559,2024-11-20,Mitchell Starc,Afghanistan,81,10,9,8.6
1560,2025-03-04,Rohit Sharma,Australia,67,13,20,7.3
1561,2023-11-30,Temba Bavuma,West Indies,90,7,3,9.4
1562,2024-03-18,Shakib Al Hasan,South Africa,73,6,21,7.6
1563,2025-06-14,Glenn Maxwell,Australia,64,5,31,6.7
1564,2025-02-25,Kane Williamson,Sri Lanka,57,10,33,6.2
1565,2023-03-02,Temba Bavuma,West Indies,78,9,13,8.2
1566,2024-04-24,Yashasvi Jaiswal,Bangladesh,81,7,12,8.4
1567,2023-04-18,Dasun Shanaka,Bangladesh,57,8,35,6.1
1568,2023-03-25,Mujeeb Ur Rahman,India,61,13,26,6.8
1569,2024-06-07,Devon Conway,South Africa,76,5,19,7.9
1570,2023-08-05,Travis Head,New Zealand,95,15,0,10.2
1571,2023-10-18,Tom Latham,New Zealand,58,8,34,6.2
1572,2024-11-20,Mohammad Rizwan,Pakistan,94,9,0,9.8
1573,2024-06-13,Rishabh Pant,Pakistan,77,11,12,8.2
1574,2023-11-29,Shimron Hetmyer,New Zealand,60,15,25,6.8
1575,2024-11-16,Dasun Shanaka,West Indies,89,9,2,9.4
1576,2023-02-03,Dasun Shanaka,Afghanistan,86,8,6,9.0
1577,2025-02-11,Trent Boult,Australia,64,10,26,6.9
1578,2025-03-03,Litton Das,West Indies,70,4,26,7.2
1579,2024-06-03,Rahmanullah Gurbaz,Sri Lanka,80,12,8,8.6
1580,2025-01-21,Trent Boult,Australia,67,7,26,7.0
1581,2025-02-26,Virat Kohli,West Indies,87,12,1,9.3
1582,2024-06-28,Pat Cummins,England,90,3,7,9.2
1583,2023-07-29,Mitchell Starc,India,65,15,20,7.2
1584,2023-06-28,Shubman Gill,Afghanistan,74,15,11,8.1
1585,2024-11-15,KL Rahul,Sri Lanka,69,18,13,7.8
1586,2023-09-14,Mohammed Shami,Australia,60,4,36,6.2
1587,2024-07-28,Devon Conway,India,85,20,0,9.5
1588,2025-05-30,Shubman Gill,New Zealand,64,11,25,6.9
1589,2024-04-12,Travis Head,Sri Lanka,79,17,4,8.8
1590,2024-10-21,Virat Kohli,Sri Lanka,59,15,26,6.7
1591,2024-02-15,Rohit Sharma,India,76,13,11,8.2
1592,2023-07-28,Angelo Mathews,India,93,20,0,10.3
1593,2025-04-30,Tom Latham,Bangladesh,57,17,26,6.6
1594,2023-08-10,Rashid Khan,Australia,71,7,22,7.5
1595,2023-07-20,Hardik Pandya,Australia,68,11,21,7.3
1596,2024-12-20,Shubman Gill,South Africa,57,20,23,6.7
1597,2024-09-29,KL Rahul,New Zealand,79,18,3,8.8
1598,2023-05-18,Kusal Mendis,Sri Lanka,91,13,0,9.8
1599,2025-05-30,Devon Conway,Afghanistan,71,8,21,7.5
1600,2024-07-25,Glenn Maxwell,Australia,86,19,0,9.5
1601,2024-02-01,Ben Stokes,West Indies,68,6,26,7.1
1602,2024-12-30,Rohit Sharma,Afghanistan,67,20,13,7.7
1603,2023-10-31,Shakib Al Hasan,Afghanistan,95,12,0,10.1
1604,2024-02-05,Temba Bavuma,England,67,17,16,7.5
1605,2025-04-03,Andre Russell,Afghanistan,77,3,20,7.9
1606,2024-01-09,Pat Cummins,Bangladesh,79,19,2,8.8
1607,2024-03-03,Rahmanullah Gurbaz,New Zealand,82,17,1,9.1
1608,2023-12-15,Mujeeb Ur Rahman,South Africa,94,17,0,10.2
1609,2025-03-10,Dasun Shanaka,South Africa,80,16,4,8.8
1610,2023-03-15,Jason Holder,India,59,14,27,6.6
1611,2024-11-03,Kane Williamson,Sri Lanka,60,3,37,6.2
1612,2023-07-17,Ravindra Jadeja,Bangladesh,86,12,2,9.2
1613,2024-01-24,Kusal Mendis,Afghanistan,83,8,9,8.7
1614,2024-08-08,Shaheen Afridi,India,82,4,14,8.4
1615,2023-08-16,Trent Boult,Afghanistan,56,16,28,6.4
1616,2025-01-26,Jonny Bairstow,India,89,12,0,9.5
1617,2025-02-04,MS Dhoni,Afghanistan,79,8,13,8.3
1618,2023-06-25,Shaheen Afridi,Bangladesh,92,12,0,9.8
1619,2024-06-24,Suryakumar Yadav,Sri Lanka,55,12,33,6.1
1620,2023-10-10,Pat Cummins,New Zealand,91,8,1,9.5
1621,2025-02-24,Steve Smith,Sri Lanka,95,10,0,10.0
1622,2024-07-23,Mohammad Rizwan,Sri Lanka,91,8,1,9.5
1623,2025-05-19,Mohammad Rizwan,Sri Lanka,64,3,33,6.6
1624,2024-03-10,Tom Latham,Sri Lanka,61,17,22,6.9
1625,2024-08-24,Mitchell Starc,Bangladesh,61,4,35,6.3
1626,2023-01-01,Ravindra Jadeja,Pakistan,90,5,5,9.2
1627,2024-08-18,Kusal Mendis,Sri Lanka,74,19,7,8.3
1628,2025-04-11,Trent Boult,Bangladesh,91,10,0,9.6
1629,2023-11-17,Dasun Shanaka,New Zealand,95,13,0,10.1
1630,2023-03-07,Mujeeb Ur Rahman,Pakistan,65,13,22,7.1
1631,2023-09-21,Babar Azam,England,94,17,0,10.2
1632,2023-06-19,David Warner,New Zealand,83,4,13,8.5
1633,2023-06-26,Jason Holder,West Indies,89,6,5,9.2
1634,2023-05-21,Rohit Sharma,Australia,75,18,7,8.4
1635,2024-10-06,Shimron Hetmyer,Afghanistan,90,15,0,9.8
1636,2023-05-03,Aiden Markram,England,83,14,3,9.0
1637,2025-04-14,Travis Head,Bangladesh,58,5,37,6.0
1638,2023-07-25,Shakib Al Hasan,West Indies,65,9,26,6.9
1639,2024-09-10,Devon Conway,Pakistan,86,16,0,9.4
1640,2024-08-29,Rahmanullah Gurbaz,India,64,15,21,7.1
1641,2023-05-09,Harry Brook,Afghanistan,80,17,3,8.8
1642,2023-09-14,Jos Buttler,England,92,16,0,10.0
1643,2025-03-28,Kane Williamson,Afghanistan,66,7,27,6.9
1644,2024-05-05,Kusal Mendis,England,93,11,0,9.8
1645,2024-01-24,KL Rahul,Pakistan,59,8,33,6.3
1646,2023-05-23,Jasprit Bumrah,South Africa,68,14,18,7.5
1647,2024-07-27,Andre Russell,Pakistan,67,19,14,7.7
1648,2024-10-21,Mohammad Rizwan,Bangladesh,64,3,33,6.6
1649,2025-01-26,Litton Das,Bangladesh,79,18,3,8.8
1650,2024-11-30,Andre Russell,Sri Lanka,83,18,0,9.2
1651,2025-05-14,Kusal Mendis,West Indies,55,16,29,6.3
1652,2024-08-16,Pat Cummins,West Indies,71,15,14,7.9
1653,2023-08-16,Steve Smith,Sri Lanka,91,8,1,9.5
1654,2025-03-22,Trent Boult,England,69,5,26,7.1
1655,2024-02-19,Aiden Markram,West Indies,75,3,22,7.7
1656,2024-02-15,MS Dhoni,Pakistan,89,9,2,9.4
1657,2025-01-22,Glenn Maxwell,Sri Lanka,72,14,14,7.9
1658,2023-10-19,Rashid Khan,Bangladesh,63,13,24,6.9
1659,2023-11-30,Steve Smith,West Indies,87,3,10,8.8
1660,2025-02-06,Shubman Gill,West Indies,76,3,21,7.8
1661,2024-12-28,Shakib Al Hasan,West Indies,74,11,15,8.0
1662,2024-11-06,Mujeeb Ur Rahman,New Zealand,57,10,33,6.2
1663,2023-09-27,Mohammed Shami,Afghanistan,87,13,0,9.4
1664,2024-06-02,Rashid Khan,England,79,17,4,8.8
1665,2023-10-25,Mitchell Starc,India,80,15,5,8.8
1666,2025-04-09,Glenn Maxwell,Sri Lanka,81,17,2,8.9
1667,2023-10-17,Quinton de Kock,West Indies,78,8,14,8.2
1668,2023-03-31,Jos Buttler,Afghanistan,84,17,0,9.2
1669,2023-08-15,Shakib Al Hasan,Afghanistan,57,19,24,6.7
1670,2024-05-17,Kusal Mendis,India,88,4,8,9.0
1671,2024-08-24,Trent Boult,Bangladesh,79,13,8,8.6
1672,2024-09-10,David Warner,England,72,15,13,8.0
1673,2024-05-05,Litton Das,Sri Lanka,77,14,9,8.4
1674,2023-10-04,Rahmanullah Gurbaz,Sri Lanka,86,11,3,9.2
1675,2024-02-29,Jason Holder,Sri Lanka,88,14,0,9.5
1676,2024-01-09,Shaheen Afridi,Sri Lanka,63,14,23,7.0
1677,2023-10-25,Pat Cummins,India,74,14,12,8.1
1678,2025-04-14,Pat Cummins,England,62,9,29,6.7
1679,2025-05-03,Shimron Hetmyer,England,70,3,27,7.1
1680,2025-03-31,Shakib Al Hasan,Pakistan,56,7,37,5.9
1681,2024-07-13,Babar Azam,South Africa,62,3,35,6.3
1682,2024-04-17,Jofra Archer,Pakistan,80,10,10,8.5
1683,2024-11-14,Dasun Shanaka,Australia,55,4,41,5.7
1684,2023-06-17,Jonny Bairstow,Bangladesh,80,20,0,9.0
1685,2024-09-24,Litton Das,Australia,75,9,16,8.0
1686,2024-05-15,Jasprit Bumrah,Afghanistan,93,8,0,9.7
1687,2025-05-22,Quinton de Kock,South Africa,83,6,11,8.6
1688,2023-07-05,Rohit Sharma,West Indies,91,6,3,9.4
1689,2023-05-25,Jonny Bairstow,Australia,60,4,36,6.2
1690,2024-03-10,Jason Holder,Sri Lanka,88,11,1,9.4
1691,2024-02-18,Yashasvi Jaiswal,England,63,3,34,6.5
1692,2025-05-29,Pat Cummins,New Zealand,88,18,0,9.7
1693,2023-08-20,Kusal Mendis,Sri Lanka,89,10,1,9.4
1694,2024-02-15,Kusal Mendis,Afghanistan,68,19,13,7.8
1695,2024-01-05,Kusal Mendis,South Africa,76,17,7,8.4
1696,2025-05-17,Trent Boult,Pakistan,83,18,0,9.2
1697,2024-03-12,Rishabh Pant,Afghanistan,65,14,21,7.2
1698,2023-01-13,Litton Das,England,77,15,8,8.4
1699,2024-12-14,Pat Cummins,Pakistan,93,7,0,9.7
1700,2023-02-17,Ravindra Jadeja,India,76,10,14,8.1
1701,2025-06-08,Shaheen Afridi,Bangladesh,92,9,0,9.7
1702,2024-12-23,Rahmanullah Gurbaz,South Africa,91,18,0,10.0
1703,2025-06-18,Kusal Mendis,New Zealand,70,14,16,7.7
1704,2024-03-13,Shaheen Afridi,Bangladesh,68,7,25,7.1
1705,2024-07-25,Ben Stokes,Bangladesh,83,10,7,8.8
1706,2025-04-11,David Warner,Sri Lanka,94,20,0,10.4
1707,2023-10-18,Ravindra Jadeja,New Zealand,76,14,10,8.3
1708,2024-01-28,Quinton de Kock,Afghanistan,78,15,7,8.6
1709,2025-05-07,Harry Brook,South Africa,79,14,7,8.6
1710,2024-09-19,Nicholas Pooran,Afghanistan,83,12,5,8.9
1711,2023-10-26,KL Rahul,Bangladesh,83,6,11,8.6
1712,2025-01-15,Shimron Hetmyer,India,83,15,2,9.1
1713,2024-07-01,Suryakumar Yadav,South Africa,92,11,0,9.8
1714,2023-03-20,David Warner,Bangladesh,59,5,36,6.2
1715,2024-04-01,David Warner,South Africa,55,3,42,5.6
1716,2025-06-09,Jofra Archer,New Zealand,61,3,36,6.2
1717,2023-01-30,Jos Buttler,Australia,57,14,29,6.4
1718,2023-09-13,Mujeeb Ur Rahman,New Zealand,57,11,32,6.2
1719,2025-03-30,KL Rahul,New Zealand,60,18,22,6.9
1720,2024-03-18,Rishabh Pant,Pakistan,83,9,8,8.8
1721,2024-11-26,Tom Latham,Sri Lanka,78,19,3,8.8
1722,2023-01-03,Ben Stokes,New Zealand,78,15,7,8.6
1723,2023-11-19,Yashasvi Jaiswal,Pakistan,84,14,2,9.1
1724,2023-07-27,Harry Brook,Afghanistan,87,15,0,9.4
1725,2024-09-08,Steve Smith,Bangladesh,61,11,28,6.7
1726,2023-05-06,Rashid Khan,West Indies,84,8,8,8.8
1727,2023-02-02,Pat Cummins,India,95,17,0,10.3
1728,2025-02-02,Dasun Shanaka,Bangladesh,94,11,0,9.9
1729,2024-04-08,Litton Das,Pakistan,58,18,24,6.7
1730,2024-08-30,Shakib Al Hasan,Pakistan,69,19,12,7.9
1731,2023-08-31,Temba Bavuma,Pakistan,68,8,24,7.2
1732,2025-04-15,Quinton de Kock,South Africa,84,13,3,9.1
1733,2024-02-17,Andre Russell,Bangladesh,80,5,15,8.2
1734,2024-05-24,Rohit Sharma,West Indies,58,6,36,6.1
1735,2024-07-18,Jos Buttler,West Indies,87,7,6,9.1
1736,2025-05-24,Angelo Mathews,Sri Lanka,84,11,5,8.9
1737,2025-03-25,Travis Head,India,68,6,26,7.1
1738,2023-04-11,Rahmanullah Gurbaz,New Zealand,62,20,18,7.2
1739,2024-07-09,Mohammed Shami,Bangladesh,78,5,17,8.1
1740,2023-10-14,Mohammad Rizwan,South Africa,91,18,0,10.0
1741,2024-05-17,Jonny Bairstow,India,66,19,15,7.5
1742,2024-07-21,Rohit Sharma,South Africa,76,5,19,7.9
1743,2024-11-15,Pat Cummins,Bangladesh,75,20,5,8.5
1744,2023-12-25,KL Rahul,Afghanistan,59,8,33,6.3
